IDUsuario;Genero;Edad
23;M;36-50
31;M;36-50
32;M;36-50
35;F;>65
38;M;51-65
39;M;51-65
40;M;36-50
45;F;36-50
51;M;51-65
52;M;26-35
57;M;51-65
58;M;36-50
63;F;36-50
64;M;36-50
65;M;36-50
66;M;36-50
81;M;36-50
83;M;51-65
91;M;26-35
92;F;36-50
94;M;26-35
95;M;36-50
97;M;36-50
99;M;36-50
104;M;36-50
105;M;36-50
106;F;36-50
107;M;51-65
109;F;51-65
120;M;36-50
122;M;51-65
124;M;51-65
127;F;36-50
129;F;36-50
132;F;51-65
133;M;51-65
136;F;51-65
137;F;36-50
139;F;36-50
141;M;36-50
142;M;36-50
151;F;36-50
159;M;51-65
163;M;51-65
179;M;51-65
181;M;>65
185;F;36-50
192;M;36-50
209;M;>65
213;M;26-35
226;M;51-65
228;M;36-50
229;M;51-65
230;M;36-50
232;F;36-50
234;M;26-35
237;F;51-65
238;M;51-65
239;M;36-50
241;F;36-50
244;F;36-50
246;F;51-65
247;M;36-50
248;F;36-50
256;F;51-65
257;F;51-65
260;M;51-65
265;M;51-65
268;M;26-35
272;M;26-35
275;F;36-50
279;M;36-50
285;M;26-35
287;M;51-65
291;F;36-50
294;M;51-65
295;M;51-65
296;M;36-50
298;F;36-50
301;M;36-50
303;M;51-65
305;M;51-65
306;F;51-65
309;M;>65
310;M;51-65
311;M;51-65
312;M;51-65
314;M;26-35
315;F;51-65
319;M;36-50
324;M;36-50
325;M;51-65
326;F;26-35
329;F;36-50
333;M;51-65
335;M;36-50
336;M;36-50
338;F;>65
339;M;36-50
340;M;36-50
342;M;51-65
345;M;51-65
350;M;51-65
354;M;51-65
355;M;36-50
357;F;36-50
368;M;26-35
369;M;36-50
370;M;36-50
372;M;36-50
373;F;51-65
379;M;36-50
386;F;26-35
394;F;36-50
396;F;36-50
399;M;>65
400;F;51-65
403;F;36-50
406;F;36-50
411;M;51-65
412;M;36-50
421;F;51-65
423;M;26-35
424;F;26-35
432;F;26-35
440;M;51-65
442;F;51-65
455;F;36-50
460;M;36-50
469;F;36-50
474;F;36-50
478;M;26-35
479;F;36-50
481;F;36-50
535;M;>65
536;M;36-50
541;M;36-50
546;M;36-50
547;M;36-50
549;M;51-65
550;F;36-50
551;F;51-65
552;F;36-50
554;M;36-50
572;M;36-50
581;F;51-65
589;M;26-35
590;M;51-65
594;M;51-65
595;M;36-50
596;M;36-50
598;F;36-50
599;F;36-50
602;M;51-65
608;M;51-65
609;F;26-35
615;M;26-35
617;M;36-50
628;M;51-65
629;M;36-50
630;F;36-50
635;M;36-50
639;M;26-35
641;F;36-50
642;F;51-65
647;F;>65
652;M;36-50
654;M;26-35
655;M;26-35
656;F;36-50
658;M;26-35
660;M;36-50
662;M;36-50
668;F;36-50
670;F;51-65
674;M;36-50
675;M;51-65
676;M;51-65
678;M;51-65
685;M;51-65
686;M;51-65
691;M;51-65
695;M;36-50
696;M;51-65
703;M;26-35
709;F;51-65
710;F;36-50
711;F;36-50
713;F;36-50
715;F;36-50
719;M;51-65
720;F;36-50
723;F;51-65
731;F;51-65
733;M;36-50
739;M;36-50
742;F;36-50
743;F;36-50
746;M;36-50
